Field=Fitted~String~Fitted~100|Field=Designator~String~Designator~144|Field=Quantity~Integer~Quantity~83|Field=OPI_VID~String~OPI_VID~50|Field=Description~String~Description~237|Field=Manufacturer~String~Manufacturer~159|Field=Manufacturer Part Number~String~Manufacturer Part Number~154|Field=Footprint~String~Footprint~115|Field=Comment~String~Comment~66|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~CNEPuckRevF.PrjPcb|ReportField=ProjectFullPath~N:\LloydJ\CNEPuckRevF\CNEPuckRevF.PrjPcb|ReportField=Title~BoM_CNE For Variant [Variant to Contract Manufacturer] of Project [CNEPuckRevF.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~153|ReportField=ReportTime~7:27:39 AM|ReportField=ReportDate~19/12/2014|ReportField=ReportDateTime~19/12/2014 7:27:39 AM|ReportField=OutputName~BoM_CNE|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Variant to Contract Manufacturer|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~JDV|ReportField=CheckedBy~|ReportField=CompanyName~OPIsystems Inc|ReportField=CurrentDate~19/12/2014|ReportField=CurrentTime~7:26:30 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~N:\LloydJ\CNEPuckRevF\CNEPuckCPURevF.SchDoc|ReportField=DocumentName~CNEPuckCPURevF.SchDoc|ReportField=DocumentNumber~CNE|ReportField=DrawnBy~JDV|ReportField=Engineer~JDV|ReportField=ImagePath~|ReportField=ModifiedDate~19/12/2014|ReportField=Organization~OPIsystems Inc|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.70|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=4318|PaperWidth=2794|Scale=100|PaperSource=7|PrintQuality=600|MediaType=1|DitherType=10|PaperKind=11x17|PrintScaleMode=1|ReportField=ProjectName~CNEPuckRevF.PrjPcb|ReportField=Revision~Rev F|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~3|ReportField=Time~|ReportField=Title~Cable Node Expansion Puck|ReportField=DataSourceFileName~CNEPuckRevF.PrjPcb|ReportField=DataSourceFullPath~N:\LloydJ\CNEPuckRevF\CNEPuckRevF.PrjPcb
Fitted|R3, R4, R9, R10, R33, R34, R39, R40|8|101449|RES 51.1 OHM .25W 1% 0603 SMD|Vishay Dale|CRCW060351R1FKEAHP|RC0603|51R1
Fitted|R5, R6, R11, R12, R35, R36, R41, R42|8|101386|RES 330 OHM 1/8W 5% 0805 SMD|KOA Speer Technologies|RK73B2ATTD331J|RC0805|330R
Fitted|R51, R54|2|101538|RES 200K OHM 1/10W 5% 0603 SMD|Panasonic Electronic Components|ERJ-3GEYJ204V|RC0603|200K
Fitted|R7, R8, R21, R31, R32, R37, R38, R43|8|101487|RES 2K OHM 1/10W 1% 0603 SMD|Panasonic Electronic Components|ERJ-3EKF2001V|RC0603|2K0
Fitted|RA1, RA2, RA3, RA4|4|101389|RES ARRAY 100 OHM 4 RES 0804|Panasonic Electronic Components|EXB-28V101JX|exb28v|100R
Fitted|S1|1|101359|CONN EDGECARD 6POS .100 VERT|TE Connectivity|7-5530843-6|EdgeConnector-6-12|7-5530843-6
Fitted|S2|1|101488|CONN RCPT 2MM 8POS DL VERT PCB|Samtec Inc|MMS-104-01-F-DV|hirose-2x4|MMS-104-01-F-DV
Fitted|U1|1|101348|IC LOAD SWITCH INTEGRATED SC70-6|Fairchild Semiconductor|FDG6342L|TS5A3160|FDG6342L
Fitted|U13|1|101360|IC MCU 32BIT 64KB FLASH 48LQFP|STMicroelectronics|STM32F051C8T6|LQFP48-7x7mm|STM32F051C8T6
Fitted|U14|1|101178|IC REG LDO 500MA 3.3V SOT223-4|National Semiconductor|LP38693MP-3.3/NOPB|SOT223|LP38693MP-3.3
Fitted|U16, U17|2|101536|IC LEVEL TRANSLATOR - TSSOP8|ON Semiconductor|PCA9306DTR2G|TSOP65P640X120-8N|PCA9306DP
Fitted|U2|1|101391|IC SRAM SPI 512K 2.5V 8SOIC|Microchip Technology|23LCV512-I/SN|SOIC127P600X265-8N|512Kx8
Fitted|U3, U4, U9, U10, U18, U19, U24, U25|8|101350|IC BRIDGE I2C TO 1-WIRE 8-SOIC|Maxim Integrated|DS2482S-100+|SOIC127P580X153-8N|DS2482S-100+
Fitted|U5, U6, U11, U12, U20, U21, U26, U27|8|101351|IC SWITCH SPDT SC88|ON Semiconductor|NLAS4157DFT2G|TS5A3160|NLAS4157D
Fitted|Y1|1|101361|CRYSTAL 32.768KHZ 12.5PF SMD|Fox Electronics|FX135A-327|FX135|32.768kHz
Fitted|Y2|1|101362|CRYSTAL 8.000000 MHZ 8PF SMD|NDK|NX8045GB-8.000000MHZ|NX8045GB|8MHz
Not Fitted|CANADAFLAG1|0||Canada Flag|||CanadaFlag500x250|
Not Fitted|FD1, FD2, FD3|0||Fiducial Round|||FIDUCIAL ROUND SMALL|
Not Fitted|MH1, MH2, MH3|0||PCB Mounting Hole, 0.150" hole, 0.270" Keepout|||MountingHole|
Not Fitted|P1|0|100210|Header, 4-Pin|3M|2340-6111TG|HDR1X4|
Not Fitted|P2|0|100210|Header, 5-Pin|3M|2340-6111TG|HDR1X5|
Not Fitted|P3|0|100210|Header, 2-Pin|3M|2340-6111TG|HDR1X2|
Not Fitted|R17, R23|0|101042, 101388|RES 0.0 OHM 1/10W 0603 SMD, RES 2.2K OHM 1/10W 5% 0603 SMD|Panasonic - ECG, Panasonic Electronic Components|ERJ-3GEY0R00V, ERJ-3GEYJ222V|RC0603|
