Field=Fitted~String~Fitted~100|Field=Designator~String~Designator~136|Field=Quantity~Integer~Quantity~50|Field=OPI_VID~String~OPI_VID~78|Field=Description~String~Description~217|Field=Manufacturer~String~Manufacturer~142|Field=Manufacturer Part Number~String~Manufacturer Part Number~185|Field=Footprint~String~Footprint~117|Field=Comment~String~Comment~161|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~CableNodeRevF.PrjPcb|ReportField=ProjectFullPath~N:\LloydJ\CableNodeRevF\CableNodeRevF.PrjPcb|ReportField=Title~Bill of Materials For Variant [Base Variant to Contract Manufacturer] of Project [CableNodeRevF.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~123|ReportField=ReportTime~8:22:17 AM|ReportField=ReportDate~17/12/2014|ReportField=ReportDateTime~17/12/2014 8:22:17 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Base Variant to Contract Manufacturer|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~JDV|ReportField=CheckedBy~|ReportField=CompanyName~OPIsystems Inc|ReportField=CurrentDate~17/12/2014|ReportField=CurrentTime~8:19:04 AM|ReportField=Date~20 Nov 2013|ReportField=DocumentFullPathAndName~N:\LloydJ\CableNodeRevF\CableNodeRevF.SchDoc|ReportField=DocumentName~CableNodeRevF.SchDoc|ReportField=DocumentNumber~20130211|ReportField=DrawnBy~JDV|ReportField=Engineer~JDV|ReportField=ImagePath~|ReportField=ModifiedDate~17/12/2014|ReportField=Organization~OPIsystems Inc|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.54|XCorrection=1.00|YCorrection=1.00|PrintKind=0|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=4318|PaperWidth=2794|Scale=100|PaperSource=7|PrintQuality=600|MediaType=1|DitherType=10|PaperKind=11x17|PrintScaleMode=1|ReportField=ProjectName~CableNodeRevF.PrjPcb|ReportField=Revision~Rev F|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~Cable Node|ReportField=DataSourceFileName~CableNodeRevF.PrjPcb|ReportField=DataSourceFullPath~N:\LloydJ\CableNodeRevF\CableNodeRevF.PrjPcb
Fitted|P6, P7|2|101515|CONN SOCKET 12POS 2MM VERT T/H|3M|950512-6102-AR|HEADER1X12-2MM|3M-950512-6102-AR
Fitted|Q1|1|100638|MOSFET P-CH 20V 2.2A SOT23-3|Vishay/Siliconix|SI2301BDS-T1-E3|SOT23(DGS)|SI2301BDS
Fitted|Q2, Q3, Q4, Q5|4|101327|MOSFET N-CH 20V 2.6A SOT23-3|Vishay Siliconix|SI2302CDS-T1-GE3|SOT23|SI2302CDS
Fitted|Q6|1|101484|IC SWITCH P-CHANNEL SOT-23|Fairchild Semiconductor|MMBFJ270|SOT23|MMBFJ270
Fitted|R1|1|101328|RES 3.24M OHM 1/8W 1% 0805 SMD|Vishay Dale|CRCW08053M24FKEA|RC0805|3.24M
Fitted|R2, R6, R9|3|101329|RES 3.83M OHM 1/10W 1% 0603 SMD|Vishay Dale|CRCW06033M83FKEA|RC0603|3.83M
Fitted|R3|1|101330|RES 1.02M OHM 1/8W 1% 0805 SMD|Vishay Dale|CRCW08051M02FKEA|RC0805|1.02M
Fitted|R4, R10|2|101331|RES 7.50M OHM 1/10W 1% 0603 SMD|Vishay Dale|CRCW06037M50FKEA|RC0603|7.5M
Fitted|R5|1|101448|RES 2.00M OHM 1/10W 1% 0603 SMD|Vishay Dale|CRCW06032M00FKEA|RC0603|2M0
Fitted|R7|1|101450|RES 4.22M OHM 1/10W 1% 0603 SMD|Vishay Dale|CRCW06034M22FKEA|RC0603|4M22
Fitted|R8|1|101333|RES 4.75M OHM 1/10W 1% 0603 SMD|Vishay Dale|CRCW06034M75FKEA|rc0603|4.75M
Fitted|R11|1|101381|RES 4.99M OHM 1/10W 1% 0603 SMD|Vishay Dale|CRCW06034M99FKEA|rc0603|4M99
Fitted|R12|1|101334|RES 5.36M OHM 1/10W 1% 0603 SMD|Vishay Dale|CRCW06035M36FKEA|RC0603|5.36M
Fitted|R13|1|101039|RES 1.0M OHM 1/10W 5% 0603 SMD|Panasonic - ECG|ERJ-3GEYJ105V|RESC1608X06N|1M0
Fitted|R15|1|101337|RES 27.0 OHM 1/10W 1% 0603 SMD|Panasonic Electronic Components|ERJ-3EKF27R0V|RC0603|27R
Fitted|R16, R20, R23, R24, R31, R34, R44, R51, R52, R53, R63, R69|12|101044|RES 10K OHM 1/10W 5% 0603 SMD|Panasonic Electronic Components|ERJ-3GEYJ103V|RC0603|10K
